,Store,Brand,Link,Image,Name,ShortName,Price,Currency,Description
0,MarketExpress,bulk-store,https://marketexpress.com.gh/gino-thai-jasmine-rice-5kg-x-5,/themes/warehouse/assets/img/blank.png,Gino Thai Jasmine Rice 5Kg x 5,Gino Thai Jasmine Rice 5Kg x 5,394.68,GHS,Gino Thai Jasmine Rice 5kgGHS75.90
1,MarketExpress,bulk-store,https://marketexpress.com.gh/fontissue-the-gentle-touch-pack-of-10,/themes/warehouse/assets/img/blank.png,Fontissue The Gentle Touch (Pack of 10),Fontissue The Gentle Touch (Pack of 10),22,GHS.00,"Rice, Pasta & GrainsIndomie Onion chicken Super Pack 120g GHS2.52Indomie Super Pack 120g                            Add to basket                "
2,MarketExpress,bulk-store,https://marketexpress.com.gh/royal-aroma-vietnam-rice-5-x-5kg,/themes/warehouse/assets/img/blank.png,Royal Aroma Vietnam Rice 5 x 5Kg,Royal Aroma Vietnam Rice 5 x 5Kg,199.9,GHS0,Royal Aroma 5 x 5Kg
3,MarketExpress,bulk-store,https://marketexpress.com.gh/bel-aqua-15l-bottled-water-box-of-12,/themes/warehouse/assets/img/blank.png,Bel Aqua 1.5L Bottled Water (Box of 12),Bel Aqua 1.5L Bottled Water (Box of 12),28.75,GHS,Snapple Juice Apple 591mlGHS8.58
4,MarketExpress,bulk-store,https://marketexpress.com.gh/heineken-can-330ml-pack-of-24,/themes/warehouse/assets/img/blank.png,Heineken Can 330ml (Pack of 24),Heineken Can 330ml (Pack of 24),176.7,GHS0,"Heineken Can 330ml (Pack of 24)Heineken is a full - bodied premium lager beer with deep golden color , a mild bitter taste and a balanced hop aroma leaving a crisp, clean and refreshing finish. Did you know that Heineken Lager contains just three natural ingredients? Water, malted barley, and hop extracts . That’s it. Yeast is an important part of the brewing process, but not an ingredient. Heineken’s natural A - Yeast is key to making the Heineken you know and love. This pack of 24cans is perfect for taking to parties or stocking the beer fridge with variety. Include it with your tailgating gear or have some ice - cold Heineken on hand when watching the game at home. The long - told success story of the Heineken Brewery got its origin over 140 years ago. Heineken Lager Beer has been brewed to be the best since 1873, using our original family recipe.A European import, we are one of the top beer brands in the world, enjoyed by people in more than 190 countries. Our world - class brewing credentials and heritage have made Heineken a highlight of celebrations, barbecues, and tailgates, or just a reward for a job well done. But there’s more behind the red star logo on our label. When your family name is on the label, you care even more. We put a premium on quality with the ingredients and processes we use to continue Gerard Adriaan Heineken’s vision from over a century ago to create the perfect beer. Every drop of Heineken beer is imported from our family - owned brewery in Holland. So, what is the meaning of a “lager”? There are two major beer types in the world: lagers and ales. Simply put, the yeast in lagers ferments at the bottom of the fermentation container, while ale yeasts ferment on the top. Lagers are also generally brewed at cooler temperatures. Lagers typically have a crisper and cleaner flavor than ales, with the light - colored pilsner being a popular version. Try Heineken with a snack or food. Heineken, the world’s top international premium beer brand is proud to sponsor the UEFA Champions League, the world’s most prestigious club football competition. Our relationship with the Champions League dates back to 1994, making us one of their longest standing official partners."
5,MarketExpress,bulk-store,https://marketexpress.com.gh/indomie-chicken-70g-box-of-40,/themes/warehouse/assets/img/blank.png,Indomie Chicken 70g (box of 40),Indomie Chicken 70g (box of 40),63.25,GHS,Breakfast CerealsCerelac 400g Tin Rice GHS17.99Cerelac Rice 400g                            Add to basket                
6,MarketExpress,bulk-store,https://marketexpress.com.gh/lele-rice-5x5-kg,/themes/warehouse/assets/img/blank.png,Lele Rice 5x5 Kg,Lele Rice 5x5 Kg,288.24,GHS,Lele Rice 5x5 Kg
7,MarketExpress,bulk-store,https://marketexpress.com.gh/fortune-thailand-jasmine-rice-5-x-5kg-25kg,/themes/warehouse/assets/img/blank.png,Fortune Thailand Jasmine Rice 5 x 4.5kg,Fortune Thailand Jasmine Rice 5 x 4.5kg,196,GHS.00,Breakfast BeveragesMilo Sachet 800g- (Pack of 12) GHS339.26Milo Sachet 800g                            Add to basket                
8,MarketExpress,bulk-store,https://marketexpress.com.gh/phoenix-jewel-thai-fragrant-rice-5-x-5-kg,/themes/warehouse/assets/img/blank.png,Phoenix Jewel Thai Fragrant Rice (5 x 5 kg),Phoenix Jewel Thai Fragrant Rice (5 x 5 kg),370.5,GHS0,Gino Thai Jasmine Rice 5kgGHS75.90
9,MarketExpress,bulk-store,https://marketexpress.com.gh/heineken-can-330ml-6-pack,/themes/warehouse/assets/img/blank.png,Heineken Can 330ml (6 Pack),Heineken Can 330ml (6 Pack),44.17,GHS,"Heineken Can 330ml 6 PackHeineken is a full - bodied premium lager beer with deep golden color , a mild bitter taste and a balanced hop aroma leaving a crisp, clean and refreshing finish. Did you know that Heineken Lager contains just three natural ingredients? Water, malted barley, and hop extracts . That’s it. Yeast is an important part of the brewing process, but not an ingredient. Heineken’s natural A - Yeast is key to making the Heineken you know and love. This traditional 6 - pack is perfect for taking to parties or stocking the beer fridge with variety . Include it with your tailgating gear or have some ice - cold Heineken on hand when watching the game at home. The long - told success story of the Heineken Brewery got its origin over 140 years ago. Heineken Lager Beer has been brewed to be the best since 1873, using our original family recipe.A European import, we are one of the top beer brands in the world, enjoyed by people in more than 190 countries. Our world - class brewing credentials and heritage have made Heineken a highlight of celebrations, barbecues, and tailgates, or just a reward for a job well done. But there’s more behind the red star logo on our label. When your family name is on the label, you care even more. We put a premium on quality with the ingredients and processes we use to continue Gerard Adriaan Heineken’s vision from over a century ago to create the perfect beer. Every drop of Heineken beer is imported from our family - owned brewery in Holland. So, what is the meaning of a “lager”? There are two major beer types in the world: lagers and ales. Simply put, the yeast in lagers ferments at the bottom of the fermentation container, while ale yeasts ferment on the top. Lagers are also generally brewed at cooler temperatures. Lagers typically have a crisper and cleaner flavor than ales, with the light - colored pilsner being a popular version. Try Heineken with a snack or food. Heineken, the world’s top international premium beer brand is proud to sponsor the UEFA Champions League, the world’s most prestigious club football competition. Our relationship with the Champions League dates back to 1994, making us one of their longest standing official partners."
